,Product status,Ad format,RECALL POTENTIAL INDEX,VISIBILITY INDEX,BRAND LINKAGE INDEX,"Ad length (TV, Radio)",Likeability Top,Likeability Top2,Likeability Bottom,Is believable Top,Is believable Top2,Think new way Top,Think new way Top2,Makes me feel good about x Top,Makes me feel good about x Top2,Is entertaining Top,Is entertaining Top2,Is unique Top,Is unique Top2,Is irritating Top,Is irritating Top2,Like to see on TV Top,Like to see on TV Top2,Is informative Top,Is informative Top2,For people like me Top,For people like me Top2,People will talk about Top,People will talk about Top2,Told me sthg new Top,Told me sthg new Top2,Brand Diff Top,Brand Diff Top2,Fits with way Top,Fits with way Top2,Told important Top,Told important Top2,Stirred my emotions Top,Stirred my emotions Top2,Is confusing Top,Is confusing Top2,Notice & remember Top,Notice & remember Top2,Clarity Top,Clarity Top2,Chance_Opinion Top,Chance_Opinion Top2,Mesaj İletimi (Top2Box),Mesaj İnandırıcılığı (Top2Box),Mesaj Hitap (Top2Box)
132,New,Storyboard,92.6,94.3,93.3,18.0,52.0,78.0,3.0,59.0,95.0,62.0,89.0,68.0,97.0,37.0,80.0,29.0,82.0,8.0,23.0,48.0,82.0,71.0,99.0,63.0,92.0,45.0,87.0,69.0,90.0,57.0,91.0,61.0,97.0,59.0,94.0,44.0,85.0,7.0,21.0,37.0,72.0,59.0,95.0,42.0,77.0,80.0,80.0,84.0
133,New,Storyboard,101.3,108.0,96.0,18.0,55.0,85.0,1.0,62.0,96.0,66.0,94.0,70.0,98.0,39.0,82.0,43.0,77.0,9.0,21.0,47.0,84.0,78.0,99.0,66.0,94.0,51.0,87.0,73.0,97.0,64.0,93.0,63.0,95.0,66.0,99.0,54.0,86.0,7.0,18.0,39.0,78.0,57.0,95.0,45.0,85.0,87.0,82.0,89.0
134,Existing,Videoboard,99.8,95.1,104.8,43.0,36.0,59.0,13.0,41.0,76.0,45.0,77.0,41.0,75.0,43.0,72.0,33.0,71.0,21.0,41.0,35.0,63.0,39.0,77.0,43.0,69.0,40.0,73.0,44.0,77.0,39.0,74.0,40.0,77.0,39.0,70.0,41.0,70.0,21.0,49.0,35.0,65.0,49.0,89.0,32.0,55.0,61.0,55.0,53.0
135,Existing,Videoboard,124.1,125.0,118.3,36.0,42.0,81.0,3.0,51.0,92.0,45.0,85.0,54.0,92.0,68.0,93.0,30.0,79.0,13.0,26.0,42.0,85.0,51.0,87.0,54.0,88.0,44.0,84.0,45.0,86.0,41.0,88.0,50.0,91.0,32.0,82.0,44.0,87.0,11.0,33.0,37.0,81.0,63.0,96.0,34.0,77.0,72.0,67.0,70.0
136,Existing,Videoboard,100.5,104.3,97.8,43.0,33.0,69.0,7.0,35.0,83.0,44.0,81.0,44.0,86.0,48.0,82.0,39.0,76.0,12.0,37.0,33.0,76.0,37.0,82.0,41.0,81.0,43.0,78.0,38.0,78.0,36.0,80.0,36.0,83.0,31.0,76.0,42.0,81.0,15.0,42.0,42.0,70.0,57.0,92.0,33.0,65.0,65.0,58.0,56.0
137,Existing,Videoboard,93.6,110.7,81.1,30.0,54.0,81.0,1.0,55.0,91.0,51.0,86.0,57.0,93.0,60.0,92.0,43.0,78.0,11.0,29.0,50.0,82.0,53.0,89.0,56.0,91.0,48.0,86.0,49.0,88.0,51.0,89.0,56.0,94.0,49.0,87.0,48.0,86.0,16.0,36.0,43.0,79.0,66.0,98.0,39.0,74.0,64.0,69.0,65.0
138,Existing,Videoboard,116.2,95.6,132.3,14.0,38.0,70.0,2.0,48.0,92.0,46.0,85.0,52.0,89.0,34.0,76.0,27.0,74.0,15.0,34.0,36.0,74.0,60.0,95.0,47.0,83.0,36.0,77.0,44.0,89.0,30.0,80.0,49.0,89.0,38.0,83.0,40.0,81.0,11.0,30.0,32.0,66.0,52.0,93.0,31.0,71.0,69.0,67.0,64.0
139,Existing,Finished,113.7,116.7,108.8,59.0,57.0,83.0,3.0,55.0,93.0,45.0,84.0,58.0,90.0,50.0,87.0,35.0,79.0,11.0,26.0,38.0,82.0,58.0,92.0,55.0,89.0,47.0,87.0,45.0,84.0,48.0,87.0,57.0,92.0,47.0,85.0,40.0,83.0,12.0,32.0,49.0,83.0,72.0,97.0,37.0,74.0,82.0,76.0,70.0
140,Existing,Finished,105.3,115.6,96.0,17.0,48.0,80.0,2.0,53.0,95.0,44.0,79.0,53.0,94.0,46.0,86.0,37.0,75.0,15.0,36.0,36.0,77.0,52.0,92.0,52.0,89.0,43.0,80.0,35.0,81.0,44.0,87.0,49.0,91.0,49.0,89.0,36.0,79.0,15.0,34.0,41.0,80.0,67.0,97.0,43.0,73.0,80.0,75.0,74.0
141,Existing,Finished,111.0,103.4,116.2,18.0,48.0,75.0,6.0,48.0,86.0,47.0,82.0,58.0,87.0,44.0,79.0,34.0,73.0,13.0,34.0,40.0,73.0,59.0,91.0,43.0,86.0,44.0,80.0,41.0,83.0,45.0,85.0,52.0,85.0,38.0,80.0,37.0,79.0,7.0,30.0,42.0,76.0,66.0,97.0,32.0,66.0,73.0,70.0,64.0
142,Existing,Finished,97.3,87.4,107.5,17.0,51.0,79.0,3.0,52.0,92.0,43.0,77.0,49.0,90.0,41.0,80.0,35.0,74.0,5.0,18.0,35.0,75.0,57.0,93.0,48.0,82.0,41.0,76.0,42.0,83.0,47.0,86.0,51.0,92.0,42.0,83.0,41.0,73.0,4.0,21.0,50.0,81.0,72.0,99.0,42.0,74.0,75.0,69.0,67.0
143,Existing,Videoboard,140.2,137.5,132.6,48.0,50.0,80.0,3.0,54.0,93.0,59.0,92.0,58.0,93.0,65.0,91.0,43.0,83.0,11.0,29.0,48.0,85.0,60.0,90.0,55.0,91.0,49.0,87.0,59.0,94.0,56.0,92.0,53.0,91.0,50.0,87.0,54.0,92.0,13.0,37.0,45.0,77.0,58.0,93.0,40.0,84.0,79.0,78.0,72.0
144,Existing,Videoboard,135.2,138.9,123.7,37.0,49.0,79.0,3.0,55.0,91.0,55.0,92.0,59.0,90.0,59.0,90.0,40.0,81.0,11.0,27.0,53.0,84.0,56.0,90.0,57.0,89.0,53.0,88.0,61.0,92.0,59.0,91.0,54.0,93.0,44.0,85.0,54.0,86.0,9.0,33.0,46.0,79.0,64.0,93.0,43.0,79.0,72.0,74.0,68.0
145,Existing,Videoboard,122.7,136.6,106.2,37.0,41.0,77.0,3.0,42.0,91.0,50.0,85.0,53.0,92.0,58.0,95.0,33.0,75.0,11.0,35.0,43.0,86.0,51.0,92.0,43.0,87.0,42.0,86.0,54.0,93.0,45.0,89.0,47.0,94.0,39.0,89.0,46.0,86.0,13.0,44.0,39.0,80.0,52.0,93.0,33.0,75.0,72.0,69.0,68.0
146,Existing,Animatic,135.6,146.1,118.1,49.0,64.0,85.0,1.0,72.0,94.0,71.0,94.0,78.0,98.0,66.0,92.0,54.0,88.0,11.0,25.0,60.0,89.0,79.0,99.0,76.0,97.0,61.0,88.0,68.0,95.0,66.0,91.0,74.0,98.0,75.0,97.0,67.0,92.0,13.0,24.0,54.0,85.0,67.0,96.0,57.0,83.0,88.0,81.0,82.0
147,Existing,Animatic,94.2,92.0,98.1,52.0,33.0,68.0,5.0,44.0,88.0,37.0,76.0,48.0,89.0,41.0,83.0,31.0,78.0,13.0,31.0,29.0,73.0,54.0,90.0,42.0,86.0,40.0,78.0,37.0,85.0,44.0,85.0,52.0,90.0,37.0,82.0,34.0,76.0,10.0,29.0,27.0,71.0,61.0,95.0,25.0,65.0,76.0,73.0,65.0
148,Existing,Animatic,104.5,109.2,100.3,52.0,45.0,75.0,2.0,51.0,91.0,42.0,85.0,53.0,89.0,44.0,83.0,31.0,75.0,15.0,31.0,39.0,80.0,55.0,89.0,53.0,89.0,47.0,83.0,45.0,87.0,49.0,88.0,51.0,94.0,43.0,87.0,41.0,81.0,11.0,31.0,39.0,75.0,61.0,95.0,39.0,71.0,73.0,67.0,65.0
149,Existing,Animatic,107.6,106.0,108.3,54.0,47.0,80.0,3.0,57.0,89.0,51.0,83.0,55.0,91.0,41.0,80.0,36.0,72.0,9.0,30.0,39.0,79.0,57.0,92.0,51.0,86.0,46.0,80.0,53.0,84.0,49.0,87.0,55.0,91.0,50.0,88.0,41.0,80.0,11.0,27.0,40.0,74.0,64.0,96.0,41.0,72.0,72.0,69.0,65.0
150,Existing,Animatic,137.7,152.6,115.9,46.0,58.0,85.0,1.0,61.0,96.0,61.0,94.0,69.0,97.0,70.0,93.0,48.0,85.0,15.0,31.0,60.0,93.0,64.0,94.0,64.0,96.0,61.0,93.0,63.0,93.0,62.0,94.0,60.0,94.0,58.0,93.0,56.0,91.0,20.0,45.0,55.0,81.0,59.0,90.0,47.0,83.0,82.0,76.0,76.0
151,Existing,Animatic,130.9,128.3,126.2,29.0,47.0,82.0,1.0,54.0,93.0,55.0,89.0,63.0,96.0,52.0,91.0,39.0,85.0,12.0,27.0,47.0,87.0,53.0,94.0,61.0,93.0,44.0,87.0,53.0,91.0,62.0,93.0,62.0,97.0,42.0,89.0,49.0,91.0,15.0,38.0,37.0,76.0,70.0,99.0,44.0,82.0,84.0,75.0,79.0
152,Existing,Animatic,159.4,157.2,144.5,21.0,60.0,89.0,0.0,59.0,97.0,56.0,92.0,69.0,97.0,64.0,93.0,45.0,89.0,13.0,27.0,55.0,91.0,71.0,99.0,65.0,93.0,52.0,91.0,63.0,97.0,67.0,93.0,65.0,99.0,63.0,88.0,57.0,91.0,17.0,32.0,52.0,85.0,64.0,95.0,56.0,83.0,88.0,88.0,87.0
153,Existing,Animatic,160.9,156.5,147.4,21.0,61.0,87.0,0.0,64.0,97.0,63.0,93.0,72.0,99.0,64.0,93.0,55.0,92.0,11.0,19.0,63.0,96.0,68.0,95.0,63.0,96.0,63.0,89.0,71.0,97.0,73.0,97.0,72.0,97.0,47.0,93.0,63.0,96.0,11.0,33.0,59.0,84.0,71.0,96.0,51.0,85.0,88.0,87.0,87.0
154,New,Animatic,145.2,130.5,146.8,45.0,55.0,86.0,0.0,65.0,97.0,65.0,95.0,66.0,97.0,54.0,92.0,45.0,86.0,6.0,18.0,50.0,89.0,69.0,98.0,65.0,95.0,59.0,92.0,70.0,98.0,68.0,97.0,66.0,98.0,53.0,94.0,57.0,92.0,10.0,27.0,54.0,84.0,65.0,97.0,48.0,87.0,82.0,80.0,81.0
